Group Name,Leak/Ransom Info Sites,Site Up/Down,Date Checked,Analyst Name,Number of victims,Notes,,,,Analyst,Date Checked?
0mega,hxxp://omegalock5zxwbhswbisc42o2q2i54vdulyvtqqbudqousisjgc7j7yd[.]onion/,Up,14Feb2023,Michael,3,As of 22SEP2022: mirrors omega[.]cc,,,,Luiza,14Nov2022
0mega,0mega[.]cc,Up,14Feb2023,Michael,3,"As of 22SEP2022: there are 2 leaked compaines, none of our clients",,,,Harrison,22Feb2022
Abraham's Ax,"abrahamm32umasogaqojib3ey2w2nwoafffrguq43tsyke4s3fz3w4yd[.]onion
abrahams-ax[.]se/en/cyber-en",Up,14Feb2023,Michael,1,,,,,Zoish,23Nov2022
Abyss,hxxp://3ev4metjirohtdpshsqlkrqcmxq6zu3d7obrdhglpy5jpbr7whmlfgqd[.]onion/,Up,25Mar2023,Lior,,,,,,,
AgainstTheWest (Telegram),t[.]me/atw2022,Up,14Feb2023,Michael,0,,,,,Lior,25Mar2023
ALPHV,hxxp://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad[.]onion,Up,14Mar2023,Olivia,363,Found on xss magic thread on 08DEC2021.,,,,Michael,14Feb2023
ArcLocker,https://shop-leakscorp.com/,Up,22Feb2022,Harrison,,,,,,,
Arvin Club (Telegram),hxxps://t[.]me/arvin_club,Up,14Feb2023,Luiza,23,11Oct2022:Today is the 26th day of national protests against the terrorist regime we are coming to the streets tonight all over the country for the fall of the dictator.04OCT2022- numerous civilian casualties,Tonight (20SEP2022) protest across the country 'against tyranny and dictatorship',,,,
AvosLocker,hxxp://avosqxh72b5ia23dl5fgwcpndkctuzqvh2iefk5imp3pi5gfhel5klad[.]onion/,Up,14Feb2023,Luiza,137,dreadytofatroptsdj6io7l3xptbet6onoyno2yv7jicoxknyazubrad[.]onion/u/avos,,,,,
Babuk 2.0,nq4zyac4ukl4tykmidbzgdlvaboqeqsemkp4t35bzvjeve6zm2lqcjid[.]onion,Up,25Mar2023,Lior,6,twitter[.]com/malwrhunterteam/status/1410614992718553095?s=20,,,,,
BianLian,hxxp://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad[.]onion/,Up,22Feb2022,Harrison,95,up on 23NOV2022 when I checked ~Heather,,,,,
Bl@ckT0r,bl4cktorpms2gybrcyt52aakcxt6yn37byb65uama5cimhifcscnqkid[.]onion,Up,14Feb2023,Michael,0,,,,,,
Bl00Dy Ransomware Gang,hxxps://t[.]me/bl00dy_Ransomware_Gang,Up,13Mar2023,Zoish,12,,,,,,
Black Basta,hxxp://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd[.]onion,Up,25Mar2023,Lior,214,,,,,,
BlackByte Auction,hxxp://jbeg2dct2zhku6c2vwnpxtm2psnjo2xnqvvpoiiwr5hxnc6wrp3uhnad[.]onion/,Up,25Mar2023,Lior,101,,,,,,
BlackMagic,t[.]me/blakmagic2511,Down,14Feb2023,Michael,0,,,,,,
CL0P (new version),hxxp://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad[.]onion/,up,14Feb2023,Luiza,658,Moving to new address in Sep/Oct : hxxp://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad[.]onion/,,,,,
Clop (archive),hxxp://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad[.]onion/,Up,14Feb2023,Luiza,658,Moving to new address in Sep/Oct : hxxp://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad[.]onion/,,,,,
Cuba,cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd[.]onion,Up,14Feb2023,Luiza,79,"Last update was in August 2022, no updates for September",Found on Arvin Club Telegram 22DEC2021,,,,
Endurance,hxxp://h44jyyfomcbnnw5dha7zgwgkvpzbzbdyx2onu4fxaa5smxrgbjgq7had[.]onion/,Up,14Feb2023,Michael,1,"Website say ""This website is undergoing active development.
Under development Stay tuned.""",,,,,
Daixin Team,7ukmkdtyxdkdivtjad57klqnd3kdsmq6tp45rrsxqnu76zzv3jvitlqd[.]onion/,Up,22Feb2022,Harrison,8,01SEP2022 OakBend Medical (USA); ISTA International GmbH; Trib Total Media (USA); Fitzgibbon Hospital (USA)- PII breach for all organizations previously listed,,,,,
Daixin Team (mirror--no),7ukmkdtyxdkdivtjad57klqnd3kdsmq6tp45rrsxqnu76zzv3jvitlqd.onion[.]pet/,Up,22Feb2022,Harrison,8,not sure this qualifies as a mirror--it's just a tor2web site (.pet),,,,,
Data Leak,hxxp://woqjumaahi662ka26jzxyx7fznbp4kg3bsjar4b52tqkxgm2pylcjlad[.]onion,Down,14Feb2023,Michael,6,,,,,,
Dark Leak Market,darkleakyqmv62eweqwy4dnhaijg4m4dkburo73pzuqfdumcntqdokyd[.]onion,Up,14Feb2023,Luiza,73,,,,,,
Dark Leak Market,darklmmmfuonklpy6s3tmvk5mrcdi7iapaw6eka45esmoryiiuug6aid[.]onion,Down,14Feb2023,Luiza,73,,,,,,
Donut Leaks,sbc2zv2qnz5vubwtx3aobfpkeao6l4igjegm3xx7tk5suqhjkp5jxtqd[.]onion,Up,13Mar2023,Zoish,10Jan2023,,,,,,
Everest,hxxp://ransomocmou6mnbquqz44ewosbkjk3o5qjsl3orawojexfook2j7esad[.]onion/,Down,14Feb2023,Luiza,130,RaidForums MagicThread ,,,,,
Free Civilian,hxxp://gcbejm2rcjftouqbxuhimj5oroouqcuxb2my4raxqa7efkz5bd5464id[.]onion,Up,14Feb2023,Luiza,52,,,,,,
Hades,hxxp://bingoshow[.]xyz/,Down,14Feb2023,Luiza,0,As of 23SEP2022: no mention of Hades; the domain offers video games for free,Not a leak site currently. Posted on 09MAR2021 online forum XSS.,,,,
Hive Leaks,hxxp://hiveleakdbtnp76ulyhi52eag6c6tyc3xw7ez7iqy6wc34gd2nekazyd[.]onion/,Down,22Feb2022,Harrison,231,Site was seized by the FBI,Screenshot also seen on xss magic thread,,,,
Ice Fire,http://7kstc545azxeahkduxmefgwqkrrhq3mzohkzqvrv7aekob7z3iwkqvyd.onion/board/victim_list/,Down,13Mar2023,Zoish,0,,,,,,
Industrial Spy,hxxp://spyarea23ttlty6qav3ecmbclpqym3p32lksanoypvrqm6j5onstsjad[.]onion,Up,13Mar2023,Zoish,37,requires an account,hxxps://www.bleepingcomputer[.]com/news/security/new-industrial-spy-stolen-data-market-promoted-through-cracks-adware/#.Yl1ordun9DZ.twitter,,,,
Izis,hxxp://izis6oyht2suanp5fb5tsxqywwtww7ph5ho7vdjbtyzvs4hkidxgklid[.]onion,Down,14Mar2023,Olivia,4,,,,,,
Karakurt ['unsafe'],hxxps://3f7nxkjway3d223j27lyad7v5cgmyaifesycvmwq7i7cbs23lb6llryd[.]onion/,Up,14Feb2023,Michael,196,,,,,,
KelvinSecurity,hxxps://breached[.]co/User-kelvinsecurity,Up,22Feb2022,Harrison,127,,"breachedforums account, posts leaks for sale",,,,
Lockbit 3.0 [mirror 1] 2,hxxp://lockbitapt2yfbt7lchxejug47kmqvqqxvvjpqkmevv4l3azl3gy6pyd[.]onion/,Up,13Mar2023,Zoish,618,"file storage site lockbit7z2jwcskxpbokpemdxmltipntwlkmidcll2qirbu7ykg46eyd[.]onion

http://lockbit7z355oalq4hiy5p7de64l6rsqutwlvydqje56uvevcc57r6qd[.]onion/",,,,,
Lockbit 3.0 [mirror 2] 4,hxxp://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd[.]onion/,Up,13Mar2023,Zoish,618,,,,,,
Lockbit 3.0 [mirror 3] 5,hxxp://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd[.]onion/,Up,13Mar2023,Zoish,618,,,,,,
Lockbit Mirrors,hxxp://lockbitapt72iw55njgnqpymggskg5yp75ry7rirtdg4m7i42artsbqd[.]onion,Up,13Mar2023,Zoish,618,added 21AUG2022,,,,,
Lorenz,hxxp://lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd[.]onion/,Up,25Mar2023,Lior,74,Heather found 03MAY2021 on VT,,,,,
LV,hxxp://rbvuetuneohce3ouxjlbxtimyyxokb4btncxjbo44fbgxqy7tskinwad[.]onion/,Down,23Nov2022,Zoish,124,"Up, 01JUL2022, Will","See also victim comms site ""LV Info"" here: l55ysq5qjpin2vq23ul3gc3h62vp4wvenl7ov6fcn65vir7kc7gb5fyd.onion",,,,
Mallox,wtyafjyhwqrgo4a45wdvvwhen3cx4euie73qvlhkhvlrexljoyuklaad[.]onion,Up,25Mar2023,Lior,20,,,,,,
MedusaLocker,"z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion",Up,14Feb2023,Michael,,,,,,,
Monti,"hxxp://mblogci3rudehaagbryjznltdp33ojwzkq6hn2pckvjq33rycmzczpid[.]onion/",Up,13Mar2023,Zoish,5,,,,,,
Moses Staff,moses-staff[.]se,Down,14Feb2023,Luiza,22,,,,,,
N4ughtySec,"t[.]me/N4ughtySecStatutes
t[.]me/N4ughtySecChat
t[.]me/n4ughtysec",Up,13Mar2023,Zoish,4,I could only confirm one of the 3 listed sites.- Sarah As of 22SEP2022: the language used is Indonesian; username: @n4aughtysecc; UserID: 1654569499; username: @N4ughtySecOficial; UserID: 1573360418;,-1001655082914,,,,
NB65,hxxps://twitter[.]com/xxNB65,Up,22Feb2022,Harrison,15,,,,,,
Nevada,"hxxp://nevcorps5cvivjf6i2gm4uia7cxng5ploqny2rgrinctazjlnqr2yiyd[.]onion/
hxxp://rampjcdlqvgkoz5oywutpo6ggl7g6tvddysustfl6qzhr5osr24xxqqd[.]onion/threads/raas-nevada-85-15.844/",Up,25Mar2023,Lior,,,,,,,
Nokoyawa,hxxp://6yofnrq7evqrtz3tzi3dkbrdovtywd35lx3iqbc5dyh367nrdh4jgfyd[.]onion,Down,14Feb2023,Michael,0,,,,,,
Play,mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd[.]onion/,Up,14Feb2023,Luiza,60,,,,,,
Onyx VSOP News,mrdxtxy6vqeqbmb4rvbvueh2kukb3e3mhu3wdothqn7242gztxyzycid[.]onion/,Down,23Nov2022,Zoish,7,Site down 07JUN2022.,,,,,
Qilin,hxxp:/kbsqoivihgdmwczmxkbovk7ss2dcynitwhhfu5yw725dboqo5kthfaad[.]onion,Up,14Feb2023,Michael,9,,,,,,
Quantum Blog,hxxp://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid[.]onion/,Up,25Mar2023,Lior,64,,Link found on magic thread,,,,
Radar,hxxp://breached65xqh64s7xbkvqgg7bmj4nj7656hcb7x4g42x753r7zmejqd.onion/User-RADAR,Up,14Feb2023,Luiza,,Posting on a forum rather than DLS. Found on 3JAN2023,,,,,
Ragnar,rgleaktxuey67yrgspmhvtnrqtgogur35lwdrup4d3igtbm3pupc4lyd[.]onion,Up,22Feb2022,Harrison,85,From leak site,,,,,
RansomEXX (DEFRAY777),hxxp://rnsm777cdsjrsdlbs4v5qoeppu3px6sb2igmh53jzrx7ipcrbjz5b2ad[.]onion/,Up,25Mar2023,Lior,53,Found link on XSS[.]is. hxxps://threatpost[.]com/ransomexx-ransomware-gang-dumps-stolen-embraer-data-report/161918/,,,,,
RansomHouse,hxxp://zohlm7ahjwegcedoz7lrdrti7bvpofymcayotp744qhx6gjmxbuo2yid[.]onion/,Up,25Mar2023,Lior,38,,,,,,
Red Alert / N13V,blog2hkbm6gogpv2b3uytzi3bj5d5zmc4asbybumjkhuqhas355janyd[.]onion,Down,25Mar2023,Lior,0,"As of 22SEP2022: 5 organizations were victims of RW, none of our clients",,,,,
Relic,relic5zqwemjnu4veilml6prgyedj6phs7de3udhicuq53z37klxm6qd[.]onion,Up,14Feb2023,Luiza,0,,,,,,
REvil,blogxxu75w63ujqarv476otld7cyjkq4yoswzt4ijadkjwvg3vrvd5yd[.]onion,Down,23Nov2022,Zoish,0,,,,,,
REvil surface web alternative,hxxp://dnpscnbaix6nkwvystl3yxglz7nteicqrou3t75tpcc5532cztc46qyd.onion[.]ws,Up,25Mar2023,Lior,335,"<<<this is only considered surface web because of the suffix ""ws""; the site is actually an onion site",UNKN; REvil representative: hxxps://forum.exploit[.]in/profile/94090-unkn/content/,,,,
Royal,royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd[.]onion/,Up,25Mar2023,Lior,133,,,,,,
Sekhmet,sekhmetleaks[.]top,Down,14Feb2023,Michael,7,,,,,,
Shao Leaks Team,crptd5sv5bdz6hovrbkac6mnp3rt7zij62njsqwh5a6ldd3asxdd22qd[.]onion,Down,14Feb2023,Michael,4,As of 22SEP2022: last RW breach was 16MAR2022- no clients effected,,,,,
Snatch,hl66646wtlp2naoqnhattngigjp5palgqmbwixepcjyq5i534acgqyad[.]onion,Up,25Mar2023,Lior,189,Mirrors snatch[.]press AND snatch[.]kim,,,,,
Snatch (web url),snatch[.]press,Up,25Mar2023,Lior,189,Mirrors snatch[.]kim,,,,,
Snatch (web url),snatch[.]kim,Up,25Mar2023,Lior,189,"As of 22SEP2022: Paid Subscription (Blockchain): Ethereum: 0xe39ebbdaaba3fd298dbc07f2b5517e4363ac7a79
Bitcoin: bc1qspsnhtwl3yjavghrkes362jvfeuay6a206hhcn",,,,,
Stormous (Telegram Channel),hxxps://t[.]me/STORMOUS_HACKER,Up,25Mar2023,Lior,78,Shared on 28FEB2022 on xss magic thread ;; started sharing data on 03JUL2021,1291272355,,,,
SunCrypt,hxxp://nbzzb6sa6xuura2z[.]onion/,Up,23Nov2022,Zoish,46,redirects to onion V3 site,,,,,
SunCrypt,hxxp://x2miyuiwpib2imjr5ykyjngdu7v6vprkkhjltrk4qafymtawey4qzwid[.]onion/,Up,23Nov2022,Zoish,46,site that victims are first directed to? (see https://www.acronis.com/en-us/blog/posts/suncrypt-adopts-attacking-techniques-netwalker-and-maze-ransomware): http://ebwexiymbsib4rmw.onion/. SunCrypt has shutdown operations,,,,,
Trigona,hxxp://45.227.253[.]106:8000/,Up,,Luiza,,,,,,,
UnSafe,hxxp://unsafeipw6wbkzzmj7yqp7bz6j7ivzynggmwxsm6u2wwfmfqrxqrrhyd[.]onion/#,Up,14Feb2023,Luiza,8,,,,,,
